amount,check,category
6699,6,Fraud
1822,10,Not Fraud
5193,5,Fraud
2361,2,Not Fraud
4018,7,Fraud
6137,23,Not Fraud
788,18,Fraud
584,4,Not Fraud
1133,15,Fraud
3572,19,Not Fraud
6801,4,Fraud
4443,25,Not Fraud
755,6,Fraud
2129,7,Not Fraud
2265,14,Fraud
4928,6,Not Fraud
5008,22,Fraud
6638,8,Not Fraud
1864,26,Fraud
2698,21,Not Fraud
1066,25,Fraud
983,5,Not Fraud
855,6,Fraud
4698,6,Not Fraud
4025,6,Fraud
6771,28,Not Fraud
2265,27,Fraud
2536,16,Not Fraud
5436,29,Fraud
2363,13,Not Fraud
3764,27,Fraud
605,16,Not Fraud
5850,4,Fraud
2234,13,Not Fraud
904,27,Fraud
1023,27,Not Fraud
6606,8,Fraud
2118,1,Not Fraud
600,27,Fraud
2019,27,Not Fraud
1341,22,Fraud
2526,18,Not Fraud
6695,14,Fraud
3342,10,Not Fraud
775,26,Fraud
5720,30,Not Fraud
5979,21,Fraud
2538,18,Not Fraud
2038,8,Fraud
3413,15,Not Fraud
3311,18,Fraud
2459,21,Not Fraud
2899,30,Fraud
4827,25,Not Fraud
5129,27,Fraud
3645,21,Not Fraud
3285,10,Fraud
5760,24,Not Fraud
4331,28,Fraud
3600,27,Not Fraud
3992,21,Fraud
1375,10,Not Fraud
1770,19,Fraud
4974,5,Not Fraud
2020,10,Fraud
3909,13,Not Fraud
6923,3,Fraud
1104,29,Not Fraud
6607,30,Fraud
5634,4,Not Fraud
4761,14,Fraud
2970,26,Not Fraud
6072,10,Fraud
5216,18,Not Fraud
2986,2,Fraud
5340,30,Not Fraud
6125,16,Fraud
3741,15,Not Fraud
3429,5,Fraud
6967,3,Not Fraud
2965,7,Fraud
6059,24,Not Fraud
903,19,Fraud
219,20,Not Fraud
1621,27,Fraud
2954,25,Not Fraud
4260,15,Fraud
2872,17,Not Fraud
5109,7,Fraud
2850,9,Not Fraud
5548,3,Fraud
3720,2,Not Fraud
4536,9,Fraud
3681,30,Not Fraud
5056,25,Fraud
6798,9,Not Fraud
5782,30,Fraud
1196,7,Not Fraud
5589,29,Fraud
2954,1,Not Fraud
1689,9,Fraud
3836,28,Not Fraud
337,25,Fraud
3488,5,Not Fraud
3349,6,Fraud
242,27,Not Fraud
1428,21,Fraud
3009,21,Not Fraud
4644,25,Fraud
5006,3,Not Fraud
5921,20,Fraud
1643,17,Not Fraud
5589,24,Fraud
1510,16,Not Fraud
4711,19,Fraud
2896,8,Not Fraud
2681,7,Fraud
6507,10,Not Fraud
5872,10,Fraud
606,13,Not Fraud
4964,4,Fraud
3779,13,Not Fraud
2877,5,Fraud
968,18,Not Fraud
2127,16,Fraud
396,15,Not Fraud
6356,27,Fraud
4478,17,Not Fraud
3520,17,Fraud
439,24,Not Fraud
2093,29,Fraud
354,12,Not Fraud
2933,3,Fraud
2290,26,Not Fraud
4925,18,Fraud
1574,10,Not Fraud
4594,8,Fraud
6452,8,Not Fraud
1105,30,Fraud
1157,12,Not Fraud
5452,29,Fraud
3571,12,Not Fraud
3981,17,Fraud
2674,28,Not Fraud
2334,8,Fraud
6849,6,Not Fraud
5976,24,Fraud
4658,3,Not Fraud
1741,5,Fraud
3166,23,Not Fraud
4352,4,Fraud
2554,22,Not Fraud
866,16,Fraud
1362,11,Not Fraud
2758,15,Fraud
6406,9,Not Fraud
5558,25,Fraud
2089,5,Not Fraud
517,22,Fraud
3293,25,Not Fraud
2251,17,Fraud
6112,14,Not Fraud
2569,19,Fraud
5270,29,Not Fraud
1486,17,Fraud
6272,5,Not Fraud
6033,22,Fraud
4686,18,Not Fraud
6458,27,Fraud
6130,14,Not Fraud
1394,14,Fraud
4431,24,Not Fraud
5248,11,Fraud
6315,10,Not Fraud
298,26,Fraud
3581,13,Not Fraud
5873,27,Fraud
4888,14,Not Fraud
3401,15,Fraud
508,14,Not Fraud
2578,30,Fraud
2205,10,Not Fraud
2228,27,Fraud
2681,15,Not Fraud
6030,14,Fraud
4283,24,Not Fraud
2333,25,Fraud
3209,19,Not Fraud
2858,22,Fraud
626,16,Not Fraud
4449,29,Fraud
3061,18,Not Fraud
5322,6,Fraud
2062,2,Not Fraud
6894,11,Fraud
2607,27,Not Fraud
4264,14,Fraud
2065,23,Not Fraud
4296,14,Fraud
903,4,Not Fraud
2705,5,Fraud
4263,8,Not Fraud
2778,25,Fraud
6784,30,Not Fraud
6735,20,Fraud
295,20,Not Fraud
5713,24,Fraud
1509,19,Not Fraud
1589,3,Fraud
1755,13,Not Fraud
2480,3,Fraud
4759,9,Not Fraud
6614,14,Fraud
3674,28,Not Fraud
4495,7,Fraud
315,29,Not Fraud
1988,2,Fraud
6689,23,Not Fraud
5251,9,Fraud
4306,1,Not Fraud
5417,16,Fraud
3321,16,Not Fraud
1729,3,Fraud
6930,22,Not Fraud
5170,12,Fraud
2144,30,Not Fraud
685,1,Fraud
6458,21,Not Fraud
1567,1,Fraud
2597,28,Not Fraud
3623,6,Fraud
2368,4,Not Fraud
3808,9,Fraud
2309,27,Not Fraud
1725,19,Fraud
3604,27,Not Fraud
2005,25,Fraud
4962,6,Not Fraud
485,21,Fraud
991,4,Not Fraud
1709,2,Fraud
5504,9,Not Fraud
5946,16,Fraud
5190,14,Not Fraud
1351,25,Fraud
1255,16,Not Fraud
5107,22,Fraud
4303,16,Not Fraud
4162,28,Fraud
4654,13,Not Fraud
1467,15,Fraud
5816,23,Not Fraud
2664,9,Fraud
3710,3,Not Fraud
2352,28,Fraud
2530,2,Not Fraud
4342,21,Fraud
4352,1,Not Fraud
6907,1,Fraud
1293,4,Not Fraud
3825,30,Fraud
4337,29,Not Fraud
456,18,Fraud
3493,12,Not Fraud
4019,10,Fraud
611,29,Not Fraud
4733,26,Fraud
3122,6,Not Fraud
1293,2,Fraud
2501,9,Not Fraud
5908,10,Fraud
1315,16,Not Fraud
692,7,Fraud
2725,2,Not Fraud
3431,21,Fraud
2640,16,Not Fraud
2137,16,Fraud
365,13,Not Fraud
2711,19,Fraud
4567,30,Not Fraud
556,15,Fraud
5310,25,Not Fraud
4719,20,Fraud
2529,7,Not Fraud
2171,8,Fraud
3126,8,Not Fraud
516,10,Fraud
5751,22,Not Fraud
1622,18,Fraud
6320,12,Not Fraud
6276,28,Fraud
2423,7,Not Fraud
5883,30,Fraud
4999,29,Not Fraud
1792,7,Fraud
5593,19,Not Fraud
5377,27,Fraud
1279,19,Not Fraud
5708,22,Fraud
6313,7,Not Fraud
4128,19,Fraud
5598,20,Not Fraud
1661,3,Fraud
3658,11,Not Fraud
1134,30,Fraud
404,16,Not Fraud
4267,15,Fraud
2833,19,Not Fraud
1132,22,Fraud
1684,26,Not Fraud
3062,20,Fraud
6269,25,Not Fraud
6978,25,Fraud
1331,14,Not Fraud
232,17,Fraud
5857,15,Not Fraud
5359,17,Fraud
3572,15,Not Fraud
2095,4,Fraud
1007,14,Not Fraud
5527,3,Fraud
5144,9,Not Fraud
625,12,Fraud
4662,12,Not Fraud
3960,27,Fraud
1466,28,Not Fraud
2116,27,Fraud
5724,17,Not Fraud
1350,13,Fraud
2299,17,Not Fraud
2560,11,Fraud
5919,9,Not Fraud
6110,28,Fraud
2948,12,Not Fraud
2350,19,Fraud
5096,9,Not Fraud
200,21,Fraud
2988,18,Not Fraud
5554,13,Fraud
3724,11,Not Fraud
5392,4,Fraud
4041,15,Not Fraud
2353,10,Fraud
3135,13,Not Fraud
4167,23,Fraud
1754,7,Not Fraud
1243,13,Fraud
2360,27,Not Fraud
4536,18,Fraud
5166,23,Not Fraud
710,17,Fraud
4963,1,Not Fraud
5932,21,Fraud
5637,13,Not Fraud
273,5,Fraud
3642,29,Not Fraud
2438,3,Fraud
1461,27,Not Fraud
3748,11,Fraud
2827,7,Not Fraud
5554,24,Fraud
2387,13,Not Fraud
2174,29,Fraud
2526,28,Not Fraud
5784,2,Fraud
6543,30,Not Fraud
1385,3,Fraud
3003,20,Not Fraud
2513,28,Fraud
2705,21,Not Fraud
3930,8,Fraud
3917,12,Not Fraud
716,5,Fraud
1259,14,Not Fraud
6674,22,Fraud
4264,10,Not Fraud
2781,26,Fraud
5875,30,Not Fraud
1256,19,Fraud
5410,4,Not Fraud
4422,15,Fraud
1860,16,Not Fraud
4879,14,Fraud
3288,30,Not Fraud
6285,18,Fraud
2123,21,Not Fraud
6562,5,Fraud
1026,14,Not Fraud
6443,19,Fraud
457,5,Not Fraud
4909,21,Fraud
4837,12,Not Fraud
6559,25,Fraud
4971,8,Not Fraud
4191,17,Fraud
6774,30,Not Fraud
4115,24,Fraud
6571,3,Not Fraud
5560,23,Fraud
4997,12,Not Fraud
305,26,Fraud
2966,20,Not Fraud
5734,17,Fraud
1965,11,Not Fraud
6544,6,Fraud
2773,15,Not Fraud
2978,11,Fraud
3537,6,Not Fraud
581,10,Fraud
4572,6,Not Fraud
5779,29,Fraud
2455,25,Not Fraud
764,8,Fraud
4628,27,Not Fraud
5735,21,Fraud
5897,30,Not Fraud
3343,27,Fraud
3779,30,Not Fraud
3402,22,Fraud
1779,20,Not Fraud
6979,3,Fraud
5586,10,Not Fraud
5535,1,Fraud
572,28,Not Fraud
3008,21,Fraud
4041,8,Not Fraud
203,27,Fraud
327,12,Not Fraud
1162,17,Fraud
3178,27,Not Fraud
4335,20,Fraud
2025,27,Not Fraud
6074,29,Fraud
6806,9,Not Fraud
5792,17,Fraud
4423,7,Not Fraud
339,21,Fraud
2747,16,Not Fraud
5035,5,Fraud
6353,25,Not Fraud
866,24,Fraud
2555,15,Not Fraud
3731,23,Fraud
4691,6,Not Fraud
3972,24,Fraud
4831,26,Not Fraud
2172,16,Fraud
3375,24,Not Fraud
4969,6,Fraud
1521,2,Not Fraud
847,4,Fraud
6604,19,Not Fraud
2189,12,Fraud
5727,25,Not Fraud
6900,24,Fraud
3633,15,Not Fraud
4751,2,Fraud
3936,30,Not Fraud
3461,24,Fraud
1754,30,Not Fraud
6216,20,Fraud
1150,28,Not Fraud
4343,27,Fraud
6529,15,Not Fraud
2893,2,Fraud
4941,12,Not Fraud
2379,17,Fraud
6309,11,Not Fraud
4713,21,Fraud
5957,9,Not Fraud
3120,8,Fraud
6194,1,Not Fraud
2877,13,Fraud
3160,4,Not Fraud
4657,11,Fraud
233,12,Not Fraud
5179,2,Fraud
6860,28,Not Fraud
1537,27,Fraud
5152,23,Not Fraud
451,21,Fraud
4694,17,Not Fraud
6547,20,Fraud
2876,28,Not Fraud
3618,2,Fraud
5270,18,Not Fraud
1166,21,Fraud
6911,2,Not Fraud
1337,21,Fraud
6054,13,Not Fraud
5026,16,Fraud
4581,24,Not Fraud
3847,27,Fraud
5800,29,Not Fraud
4800,13,Fraud
5168,12,Not Fraud
1321,26,Fraud
1403,29,Not Fraud
2713,23,Fraud
4005,29,Not Fraud
1939,28,Fraud
396,29,Not Fraud
6241,16,Fraud
475,2,Not Fraud
2115,2,Fraud
4804,2,Not Fraud
4284,6,Fraud
6671,6,Not Fraud
2444,5,Fraud
6805,28,Not Fraud
5239,2,Fraud
4168,4,Not Fraud
3840,25,Fraud
217,8,Not Fraud
3677,21,Fraud
2696,29,Not Fraud
4648,20,Fraud
2182,4,Not Fraud
504,26,Fraud
1575,14,Not Fraud
1415,29,Fraud
2745,3,Not Fraud
4383,3,Fraud
4109,13,Not Fraud
3377,22,Fraud
4603,19,Not Fraud
2600,11,Fraud
2546,6,Not Fraud
2357,24,Fraud
4201,30,Not Fraud
4833,13,Fraud
720,14,Not Fraud
4093,10,Fraud
4872,7,Not Fraud
1957,23,Fraud
1311,18,Not Fraud
6461,7,Fraud
4047,20,Not Fraud
4022,21,Fraud
4329,4,Not Fraud
2638,26,Fraud
4417,10,Not Fraud
257,13,Fraud
4306,6,Not Fraud
766,22,Fraud
3785,15,Not Fraud
2830,30,Fraud
2009,1,Not Fraud
2004,20,Fraud
2154,2,Not Fraud
6202,8,Fraud
3985,26,Not Fraud
2350,19,Fraud
2051,30,Not Fraud
304,5,Fraud
2531,26,Not Fraud
2426,15,Fraud
2004,2,Not Fraud
5346,3,Fraud
580,27,Not Fraud
1084,21,Fraud
1906,2,Not Fraud
5950,15,Fraud
6373,20,Not Fraud
6636,22,Fraud
2091,9,Not Fraud
2794,27,Fraud
2602,14,Not Fraud
2928,27,Fraud
1167,4,Not Fraud
6660,1,Fraud
5301,28,Not Fraud
4121,12,Fraud
1442,16,Not Fraud
5590,28,Fraud
6014,5,Not Fraud
3828,22,Fraud
4331,4,Not Fraud
6158,14,Fraud
3809,24,Not Fraud
4973,12,Fraud
5172,6,Not Fraud
6310,15,Fraud
2245,22,Not Fraud
6771,23,Fraud
6058,28,Not Fraud
534,17,Fraud
4547,7,Not Fraud
4885,4,Fraud
4491,18,Not Fraud
242,22,Fraud
2078,24,Not Fraud
6039,3,Fraud
6186,20,Not Fraud
1526,25,Fraud
4435,15,Not Fraud
6041,3,Fraud
4987,26,Not Fraud
1979,30,Fraud
5378,25,Not Fraud
6555,15,Fraud
6971,23,Not Fraud
5197,10,Fraud
3315,14,Not Fraud
583,19,Fraud
2693,3,Not Fraud
1395,2,Fraud
539,4,Not Fraud
5502,15,Fraud
4223,11,Not Fraud
6328,17,Fraud
6328,15,Not Fraud
6508,19,Fraud
3181,14,Not Fraud
3653,14,Fraud
930,29,Not Fraud
6881,17,Fraud
1158,28,Not Fraud
4289,4,Fraud
2899,18,Not Fraud
6580,28,Fraud
2760,9,Not Fraud
2153,20,Fraud
1701,6,Not Fraud
3141,26,Fraud
6699,30,Not Fraud
1171,21,Fraud
2479,25,Not Fraud
443,24,Fraud
6838,8,Not Fraud
1398,13,Fraud
3211,26,Not Fraud
4707,9,Fraud
5513,20,Not Fraud
3871,25,Fraud
2527,24,Not Fraud
6280,26,Fraud
769,5,Not Fraud
5424,1,Fraud
3579,22,Not Fraud
1561,27,Fraud
3706,16,Not Fraud
1961,5,Fraud
2489,29,Not Fraud
1639,17,Fraud
5699,22,Not Fraud
1264,4,Fraud
4009,24,Not Fraud
6803,13,Fraud
3821,6,Not Fraud
2418,15,Fraud
3947,20,Not Fraud
3031,16,Fraud
5233,1,Not Fraud
5900,12,Fraud
343,22,Not Fraud
3547,21,Fraud
534,30,Not Fraud
850,4,Fraud
3662,23,Not Fraud
2826,5,Fraud
4508,1,Not Fraud
1431,23,Fraud
1739,23,Not Fraud
811,14,Fraud
1996,25,Not Fraud
6536,15,Fraud
3773,7,Not Fraud
571,16,Fraud
5033,22,Not Fraud
654,17,Fraud
5737,7,Not Fraud
1201,27,Fraud
3615,7,Not Fraud
4865,28,Fraud
4838,29,Not Fraud
1969,3,Fraud
2744,21,Not Fraud
4322,20,Fraud
2160,20,Not Fraud
2397,21,Fraud
1402,12,Not Fraud
5120,12,Fraud
916,8,Not Fraud
3102,13,Fraud
2799,13,Not Fraud
512,23,Fraud
6119,15,Not Fraud
3911,12,Fraud
6380,6,Not Fraud
1993,27,Fraud
4072,18,Not Fraud
5061,2,Fraud
6033,6,Not Fraud
3848,18,Fraud
2481,24,Not Fraud
6065,26,Fraud
4505,23,Not Fraud
2734,7,Fraud
235,4,Not Fraud
2893,3,Fraud
4098,24,Not Fraud
1530,5,Fraud
467,23,Not Fraud
3918,24,Fraud
2391,4,Not Fraud
4745,22,Fraud
5737,2,Not Fraud
2054,15,Fraud
2490,9,Not Fraud
5738,29,Fraud
3693,12,Not Fraud
1130,3,Fraud
6990,22,Not Fraud
1447,15,Fraud
935,14,Not Fraud
5905,23,Fraud
3713,28,Not Fraud
2838,9,Fraud
4090,16,Not Fraud
1193,15,Fraud
4907,5,Not Fraud
2643,28,Fraud
5073,18,Not Fraud
1705,12,Fraud
614,3,Not Fraud
5027,23,Fraud
1667,27,Not Fraud
668,27,Fraud
2751,3,Not Fraud
6104,16,Fraud
5042,10,Not Fraud
923,11,Fraud
3611,12,Not Fraud
5599,15,Fraud
3629,23,Not Fraud
5874,18,Fraud
798,3,Not Fraud
4760,11,Fraud
5875,12,Not Fraud
6932,10,Fraud
448,18,Not Fraud
3832,25,Fraud
5252,7,Not Fraud
3951,14,Fraud
3348,1,Not Fraud
1764,29,Fraud
6420,25,Not Fraud
5457,21,Fraud
6003,7,Not Fraud
1589,26,Fraud
2724,3,Not Fraud
5076,5,Fraud
4953,9,Not Fraud
941,28,Fraud
6655,27,Not Fraud
1034,23,Fraud
5728,8,Not Fraud
6708,20,Fraud
4298,28,Not Fraud
3876,6,Fraud
4401,29,Not Fraud
4812,15,Fraud
415,7,Not Fraud
3175,18,Fraud
3551,16,Not Fraud
2393,9,Fraud
2513,28,Not Fraud
1012,5,Fraud
2131,21,Not Fraud
6417,26,Fraud
4951,17,Not Fraud
3094,24,Fraud
1392,7,Not Fraud
4283,23,Fraud
4077,13,Not Fraud
3617,12,Fraud
4458,16,Not Fraud
247,6,Fraud
6233,5,Not Fraud
2039,24,Fraud
1683,16,Not Fraud
5027,24,Fraud
1625,9,Not Fraud
6750,7,Fraud
2705,8,Not Fraud
372,1,Fraud
528,25,Not Fraud
4466,20,Fraud
4036,16,Not Fraud
947,29,Fraud
6077,26,Not Fraud
5686,27,Fraud
1040,23,Not Fraud
234,18,Fraud
283,29,Not Fraud
379,28,Fraud
5939,24,Not Fraud
2958,26,Fraud
1366,26,Not Fraud
4825,10,Fraud
4888,23,Not Fraud
2830,19,Fraud
6547,29,Not Fraud
1679,12,Fraud
2533,17,Not Fraud
4699,15,Fraud
6312,27,Not Fraud
6984,25,Fraud
6205,6,Not Fraud
650,27,Fraud
5816,12,Not Fraud
3735,16,Fraud
5087,4,Not Fraud
3653,8,Fraud
3361,27,Not Fraud
1720,24,Fraud
1987,9,Not Fraud
1487,24,Fraud
5791,14,Not Fraud
2869,20,Fraud
955,24,Not Fraud
5305,26,Fraud
3514,6,Not Fraud
4217,21,Fraud
988,21,Not Fraud
6800,29,Fraud
6227,18,Not Fraud
6634,12,Fraud
6002,19,Not Fraud
3592,9,Fraud
507,19,Not Fraud
5592,21,Fraud
1372,11,Not Fraud
1897,7,Fraud
2184,5,Not Fraud
2528,19,Fraud
4087,28,Not Fraud
1252,19,Fraud
405,27,Not Fraud
6989,9,Fraud
4141,24,Not Fraud
549,20,Fraud
4531,15,Not Fraud
543,1,Fraud
429,1,Not Fraud
6245,12,Fraud
3216,27,Not Fraud
6324,29,Fraud
6526,5,Not Fraud
2149,7,Fraud
4753,18,Not Fraud
5800,3,Fraud
1129,7,Not Fraud
314,23,Fraud
5907,10,Not Fraud
1962,1,Fraud
6876,20,Not Fraud
1749,26,Fraud
954,15,Not Fraud
4601,18,Fraud
6788,18,Not Fraud
4164,3,Fraud
5470,9,Not Fraud
5793,4,Fraud
1696,9,Not Fraud
352,20,Fraud
282,3,Not Fraud
3111,20,Fraud
878,19,Not Fraud
4385,7,Fraud
5148,3,Not Fraud
2575,20,Fraud
1165,27,Not Fraud
1373,21,Fraud
4832,14,Not Fraud
4108,14,Fraud
4764,24,Not Fraud
1599,13,Fraud
5989,13,Not Fraud
2052,9,Fraud
1565,10,Not Fraud
2525,8,Fraud
1968,10,Not Fraud
986,17,Fraud
6169,21,Not Fraud
6875,8,Fraud
2844,8,Not Fraud
6748,1,Fraud
3588,9,Not Fraud
808,29,Fraud
4519,20,Not Fraud
6810,26,Fraud
5771,29,Not Fraud
3044,12,Fraud
328,15,Not Fraud
5157,28,Fraud
719,19,Not Fraud
4124,8,Fraud
4391,26,Not Fraud
3909,27,Fraud
676,23,Not Fraud
1796,25,Fraud
6816,18,Not Fraud
1012,6,Fraud
1244,23,Not Fraud
3480,3,Fraud
6872,27,Not Fraud
5243,7,Fraud
3197,2,Not Fraud
2832,2,Fraud
1125,12,Not Fraud
1651,17,Fraud
3289,13,Not Fraud
1946,30,Fraud
6713,19,Not Fraud
1570,25,Fraud
594,4,Not Fraud
6140,22,Fraud
3392,8,Not Fraud
4238,16,Fraud
4131,23,Not Fraud
5254,22,Fraud
449,8,Not Fraud
3035,29,Fraud
3263,27,Not Fraud
1086,21,Fraud
4730,11,Not Fraud
6180,29,Fraud
3455,9,Not Fraud
5859,20,Fraud
1353,23,Not Fraud
829,30,Fraud
2510,9,Not Fraud
1128,21,Fraud
1985,3,Not Fraud
3622,30,Fraud
2321,8,Not Fraud
1254,14,Fraud
1104,15,Not Fraud
5942,2,Fraud
5112,21,Not Fraud
3164,7,Fraud
4586,1,Not Fraud
4638,9,Fraud
3673,10,Not Fraud
942,5,Fraud
1501,1,Not Fraud
2428,28,Fraud
6449,29,Not Fraud
1333,29,Fraud
3977,9,Not Fraud
2933,28,Fraud
3347,25,Not Fraud
1226,1,Fraud
3351,15,Not Fraud
4116,10,Fraud
3863,28,Not Fraud
2371,7,Fraud
6988,3,Not Fraud
567,10,Fraud
5800,10,Not Fraud
1863,13,Fraud
1786,29,Not Fraud
5047,4,Fraud
1189,8,Not Fraud
4749,2,Fraud
6246,14,Not Fraud
5262,5,Fraud
6594,1,Not Fraud
4958,16,Fraud
2380,15,Not Fraud
5685,29,Fraud
4483,25,Not Fraud
6439,6,Fraud
6993,27,Not Fraud
279,7,Fraud
3374,5,Not Fraud
410,25,Fraud
5961,11,Not Fraud
5594,14,Fraud
5052,7,Not Fraud
3070,3,Fraud
5045,1,Not Fraud
4880,22,Fraud
3320,8,Not Fraud
1416,25,Fraud
5051,25,Not Fraud
3226,27,Fraud
5638,28,Not Fraud
1931,6,Fraud
4583,27,Not Fraud
1770,18,Fraud
3321,2,Not Fraud
662,30,Fraud
2546,4,Not Fraud
2680,30,Fraud
2691,29,Not Fraud
4119,11,Fraud
291,3,Not Fraud
4403,10,Fraud
463,11,Not Fraud
307,17,Fraud
903,25,Not Fraud
5924,1,Fraud
3476,4,Not Fraud
5638,2,Fraud
6288,18,Not Fraud
2846,30,Fraud
680,3,Not Fraud
5333,3,Fraud
3368,13,Not Fraud
6484,9,Fraud
953,8,Not Fraud
2841,21,Fraud
3387,22,Not Fraud
6670,15,Fraud
3410,8,Not Fraud
6975,26,Fraud
3177,22,Not Fraud
4115,5,Fraud
306,1,Not Fraud
5860,13,Fraud
2193,27,Not Fraud
5350,12,Fraud
1833,30,Not Fraud
4403,21,Fraud
6244,22,Not Fraud
6101,9,Fraud
6811,5,Not Fraud
2187,17,Fraud
5089,4,Not Fraud
598,6,Fraud
2256,27,Not Fraud
3754,28,Fraud
5514,8,Not Fraud
1468,6,Fraud
2915,18,Not Fraud
4093,28,Fraud
811,20,Not Fraud
5043,21,Fraud
2954,25,Not Fraud
2334,1,Fraud
5539,4,Not Fraud
2374,4,Fraud
4397,26,Not Fraud
5552,27,Fraud
5698,10,Not Fraud
2931,18,Fraud
1441,5,Not Fraud
630,3,Fraud
6623,21,Not Fraud
5730,16,Fraud
538,10,Not Fraud
1540,14,Fraud
3661,5,Not Fraud
5679,1,Fraud
1230,2,Not Fraud
4175,8,Fraud
6468,22,Not Fraud
1138,26,Fraud
6943,18,Not Fraud
1829,21,Fraud
965,9,Not Fraud
2683,19,Fraud
2317,2,Not Fraud
2764,9,Fraud
4834,9,Not Fraud
988,25,Fraud
6654,19,Not Fraud
354,20,Fraud
4842,8,Not Fraud
2550,19,Fraud
3816,5,Not Fraud
6480,28,Fraud
1214,30,Not Fraud
5065,24,Fraud
6703,29,Not Fraud
4759,16,Fraud
1136,12,Not Fraud
1417,3,Fraud
943,6,Not Fraud
820,17,Fraud
3411,29,Not Fraud
6466,3,Fraud
2283,30,Not Fraud
477,22,Fraud
4146,13,Not Fraud
462,28,Fraud
5329,5,Not Fraud
5712,29,Fraud
3670,28,Not Fraud
5735,10,Fraud
3051,6,Not Fraud
2957,18,Fraud
1582,3,Not Fraud
6910,24,Fraud
656,19,Not Fraud
1813,9,Fraud
813,23,Not Fraud
4464,16,Fraud
2711,6,Not Fraud
5923,8,Fraud
3636,30,Not Fraud
3454,18,Fraud
6921,14,Not Fraud
1696,4,Fraud
3926,11,Not Fraud
4802,11,Fraud
4971,3,Not Fraud
5817,20,Fraud
2813,4,Not Fraud
5266,1,Fraud
3301,27,Not Fraud
5763,19,Fraud
4051,9,Not Fraud
3885,8,Fraud
4120,26,Not Fraud
3157,1,Fraud
6382,28,Not Fraud
3628,29,Fraud
4868,20,Not Fraud
1104,16,Fraud
5923,13,Not Fraud
5320,11,Fraud
3920,8,Not Fraud
6414,16,Fraud
6990,25,Not Fraud
711,18,Fraud
5783,16,Not Fraud
5019,30,Fraud
533,15,Not Fraud
1369,3,Fraud
6843,25,Not Fraud
5506,21,Fraud
5918,6,Not Fraud
1786,2,Fraud
5092,3,Not Fraud
2632,23,Fraud
4614,7,Not Fraud
6785,12,Fraud
674,5,Not Fraud
4587,11,Fraud
1687,11,Not Fraud
2940,3,Fraud
5597,26,Not Fraud
6543,19,Fraud
300,10,Not Fraud
2681,20,Fraud
4671,5,Not Fraud
3390,23,Fraud
6498,3,Not Fraud
973,11,Fraud
3907,13,Not Fraud
226,5,Fraud
999,20,Not Fraud
4920,18,Fraud
5144,20,Not Fraud
1130,2,Fraud
4291,11,Not Fraud
4257,4,Fraud
6851,30,Not Fraud
5433,19,Fraud
2135,12,Not Fraud
4004,18,Fraud
6390,15,Not Fraud
2275,4,Fraud
5884,5,Not Fraud
774,26,Fraud
1691,24,Not Fraud
3552,18,Fraud
4775,22,Not Fraud
4215,10,Fraud
1583,26,Not Fraud
533,8,Fraud
5454,18,Not Fraud
6495,15,Fraud
2872,20,Not Fraud
1943,20,Fraud
4999,4,Not Fraud
3500,29,Fraud
3968,10,Not Fraud
485,4,Fraud
5162,17,Not Fraud
4069,11,Fraud
5005,3,Not Fraud
5204,20,Fraud
6858,21,Not Fraud
3328,25,Fraud
2509,30,Not Fraud
1280,23,Fraud
3551,7,Not Fraud
3598,21,Fraud
2868,2,Not Fraud
4053,4,Fraud
2420,19,Not Fraud
589,12,Fraud
2801,4,Not Fraud
5302,5,Fraud
3033,3,Not Fraud
5645,7,Fraud
1217,13,Not Fraud
4094,21,Fraud
6233,12,Not Fraud
3088,22,Fraud
4920,15,Not Fraud
1599,17,Fraud
5079,20,Not Fraud
3041,7,Fraud
1776,28,Not Fraud
2692,2,Fraud
412,28,Not Fraud
5927,28,Fraud
4894,21,Not Fraud
785,3,Fraud
3605,4,Not Fraud
3166,18,Fraud
3924,1,Not Fraud
3556,5,Fraud
6788,13,Not Fraud
3571,13,Fraud
4708,12,Not Fraud
6558,11,Fraud
906,30,Not Fraud
1210,12,Fraud
431,13,Not Fraud
4677,6,Fraud
2383,24,Not Fraud
6928,2,Fraud
6547,18,Not Fraud
6603,24,Fraud
5418,22,Not Fraud
5479,27,Fraud
2894,26,Not Fraud
5031,1,Fraud
1522,5,Not Fraud
5499,17,Fraud
6073,23,Not Fraud
6600,8,Fraud
4841,28,Not Fraud
2765,2,Fraud
2151,21,Not Fraud
2408,18,Fraud
3714,14,Not Fraud
3426,9,Fraud
6199,16,Not Fraud
4952,22,Fraud
3072,17,Not Fraud
879,29,Fraud
3027,13,Not Fraud
4396,13,Fraud
5946,26,Not Fraud
2238,5,Fraud
677,9,Not Fraud
6105,9,Fraud
4926,23,Not Fraud
3764,22,Fraud
4655,26,Not Fraud
516,18,Fraud
789,21,Not Fraud
5664,17,Fraud
1992,25,Not Fraud
5880,8,Fraud
923,11,Not Fraud
2617,5,Fraud
1661,8,Not Fraud
2369,27,Fraud
4576,29,Not Fraud
6121,6,Fraud
3849,23,Not Fraud
4609,29,Fraud
2566,8,Not Fraud
689,5,Fraud
6010,29,Not Fraud
4054,12,Fraud
6280,11,Not Fraud
5826,18,Fraud
3404,10,Not Fraud
4091,5,Fraud
1441,27,Not Fraud
1906,27,Fraud
5767,21,Not Fraud
2932,9,Fraud
6130,28,Not Fraud
4490,12,Fraud
2450,1,Not Fraud
